Cod_mun,Código do Item Geográfico,Município,Ordem Geográfica,Ano,Totobit,ObitN,ObitP,População
261120,2611200,Poção,129,2010,2,0,2,11242
261130,2611309,Pombos,130,2010,3,0,3,24046
261140,2611408,Primavera,131,2010,1,0,1,13439
261150,2611507,Quipapá,132,2010,1,0,1,24186
261153,2611533,Quixaba,133,2010,2,0,2,6739
261160,2611606,Recife,134,2010,281,197,84,1537704
261170,2611705,Riacho das Almas,135,2010,3,2,1,19162
261180,2611804,Ribeirão,136,2010,7,6,1,44439
261190,2611903,Rio Formoso,137,2010,6,3,3,22151
261200,2612000,Sairé,138,2010,3,1,2,11240
261210,2612109,Salgadinho,139,2010,1,1,,9312
261220,2612208,Salgueiro,140,2010,16,12,4,56629
261230,2612307,Saloá,141,2010,2,1,1,15309
261240,2612406,Sanharó,142,2010,4,3,1,21955
261245,2612455,Santa Cruz,143,2010,4,4,,13594
261247,2612471,Santa Cruz da Baixa Verde,144,2010,7,6,1,11768
261250,2612505,Santa Cruz do Capibaribe,145,2010,29,17,12,87582
261255,2612554,Santa Filomena,146,2010,5,4,1,13371
261260,2612604,Santa Maria da Boa Vista,147,2010,19,16,3,39435
261270,2612703,Santa Maria do Cambucá,148,2010,8,5,3,13021
261280,2612802,Santa Terezinha,149,2010,4,3,1,10991
261290,2612901,São Benedito do Sul,150,2010,4,3,1,13941
261300,2613008,São Bento do Una,151,2010,6,5,1,53242
261310,2613107,São Caitano,152,2010,12,8,4,35274
261320,2613206,São João,153,2010,5,3,2,21312
261330,2613305,São Joaquim do Monte,154,2010,4,2,2,20488
261340,2613404,São José da Coroa Grande,155,2010,4,1,3,18180
261350,2613503,São José do Belmonte,156,2010,10,6,4,32617
261360,2613602,São José do Egito,157,2010,7,4,3,31829
261370,2613701,São Lourenço da Mata,158,2010,17,13,4,102895
261380,2613800,São Vicente Ferrer,159,2010,4,3,1,17000
261390,2613909,Serra Talhada,160,2010,20,17,3,79232
261400,2614006,Serrita,161,2010,3,3,,18331
261410,2614105,Sertânia,162,2010,7,5,2,33787
261420,2614204,Sirinhaém,163,2010,12,9,3,40296
261440,2614402,Solidão,164,2010,2,1,1,5744
261450,2614501,Surubim,165,2010,7,7,,58515
261460,2614600,Tabira,166,2010,10,6,4,26427
261470,2614709,Tacaimbó,167,2010,4,3,1,12725
261480,2614808,Tacaratu,168,2010,12,8,4,22068
261485,2614857,Tamandaré,169,2010,4,3,1,20715
261500,2615003,Taquaritinga do Norte,170,2010,4,4,,24903
261510,2615102,Terezinha,171,2010,3,3,,6737
261520,2615201,Terra Nova,172,2010,4,4,,9278
261530,2615300,Timbaúba,173,2010,11,3,8,53825
261540,2615409,Toritama,174,2010,10,9,1,35554
261550,2615508,Tracunhaém,175,2010,2,2,,13055
261560,2615607,Trindade,176,2010,19,10,9,26116
261570,2615706,Triunfo,177,2010,3,2,1,15006
261580,2615805,Tupanatinga,178,2010,10,5,5,24425
261590,2615904,Tuparetama,179,2010,2,2,,7925
261600,2616001,Venturosa,180,2010,9,5,4,16052
261610,2616100,Verdejante,181,2010,2,2,,9142
261618,2616183,Vertente do Lério,182,2010,2,2,,7873
261620,2616209,Vertentes,183,2010,11,8,3,18222
261630,2616308,Vicência,184,2010,3,2,1,30732
261640,2616407,Vitória de Santo Antão,185,2010,26,22,4,129974
261650,2616506,Xexéu,186,2010,8,3,5,14093
260005,2600054,Abreu e Lima,2,2011,17,10,7,94843
260010,2600104,Afogados da Ingazeira,3,2011,12,9,3,35255
260020,2600203,Afrânio,4,2011,3,3,,17784
260030,2600302,Agrestina,5,2011,2,1,1,22882
260040,2600401,Água Preta,6,2011,10,5,5,33446
260050,2600500,Águas Belas,7,2011,12,8,4,40511
260060,2600609,Alagoinha,8,2011,4,2,2,13853
260070,2600708,Aliança,9,2011,12,9,3,37433
260080,2600807,Altinho,10,2011,6,4,2,22371
260090,2600906,Amaraji,11,2011,2,2,,21988
260100,2601003,Angelim,12,2011,1,1,,10288
260105,2601052,Araçoiaba,13,2011,1,1,,18390
260110,2601102,Araripina,14,2011,29,24,5,77794
260120,2601201,Arcoverde,15,2011,16,14,2,69346
260130,2601300,Barra de Guabiraba,16,2011,2,2,,12918
260140,2601409,Barreiros,17,2011,18,10,8,40855
260150,2601508,Belém de Maria,18,2011,6,4,2,11409
260160,2601607,Belém do São Francisco,19,2011,2,2,,20257
260170,2601706,Belo Jardim,20,2011,25,16,9,72719
260180,2601805,Betânia,21,2011,5,5,,12057
260190,2601904,Bezerros,22,2011,18,11,7,58768
260200,2602001,Bodocó,23,2011,11,8,3,35422
260210,2602100,Bom Conselho,24,2011,8,7,1,45747
260220,2602209,Bom Jardim,25,2011,6,6,,37889
260230,2602308,Bonito,26,2011,3,2,1,37552
260240,2602407,Brejão,27,2011,3,3,,8839
260250,2602506,Brejinho,28,2011,2,2,,7310
260260,2602605,Brejo da Madre de Deus,29,2011,11,7,4,45723
260270,2602704,Buenos Aires,30,2011,3,2,1,12578
260280,2602803,Buíque,31,2011,17,12,5,52715
260290,2602902,Cabo de Santo Agostinho,32,2011,47,33,14,187159
260300,2603009,Cabrobó,33,2011,7,5,2,31191
260310,2603108,Cachoeirinha,34,2011,,0,,18956
260320,2603207,Caetés,35,2011,8,7,1,26765
260330,2603306,Calçado,36,2011,1,1,,11088
260340,2603405,Calumbi,37,2011,3,3,,5646
260345,2603454,Camaragibe,38,2011,21,11,10,145676
260350,2603504,Camocim de São Félix,39,2011,2,1,1,17257
260360,2603603,Camutanga,40,2011,,0,,8180
260370,2603702,Canhotinho,41,2011,5,4,1,24491
260380,2603801,Capoeiras,42,2011,5,4,1,19596
260390,2603900,Carnaíba,43,2011,6,5,1,18642
260392,2603926,Carnaubeira da Penha,44,2011,7,5,2,11888
260400,2604007,Carpina,45,2011,7,5,2,75706
260410,2604106,Caruaru,46,2011,79,62,17,319580
260415,2604155,Casinhas,47,2011,5,5,,13799
260420,2604205,Catende,48,2011,9,6,3,38324
260430,2604304,Cedro,49,2011,2,1,1,10873
260440,2604403,Chã de Alegria,50,2011,1,0,1,12504
260450,2604502,Chã Grande,51,2011,3,3,,20270
260460,2604601,Condado,52,2011,5,4,1,24473
260470,2604700,Correntes,53,2011,2,1,1,17491
260480,2604809,Cortês,54,2011,2,2,,12435
260490,2604908,Cumaru,55,2011,,0,,17329
260500,2605004,Cupira,56,2011,5,4,1,23468
260510,2605103,Custódia,57,2011,12,7,5,34154
260515,2605152,Dormentes,58,2011,7,4,3,17110
260520,2605202,Escada,59,2011,17,9,8,63963
260530,2605301,Exu,60,2011,17,9,8,31576
260540,2605400,Feira Nova,61,2011,6,5,1,20703
260550,2605509,Ferreiros,63,2011,3,2,1,11484
260560,2605608,Flores,64,2011,5,2,3,22166
260570,2605707,Floresta,65,2011,8,5,3,29635
260580,2605806,Frei Miguelinho,66,2011,1,0,1,14394
260590,2605905,Gameleira,67,2011,8,6,2,28213
260600,2606002,Garanhuns,68,2011,30,21,9,130303
260610,2606101,Glória do Goitá,69,2011,9,7,2,29132
260620,2606200,Goiana,70,2011,13,5,8,75987
260630,2606309,Granito,71,2011,2,2,,6913
260640,2606408,Gravatá,72,2011,11,8,3,77164
260650,2606507,Iati,73,2011,6,4,2,18412
260660,2606606,Ibimirim,74,2011,9,7,2,27155
260670,2606705,Ibirajuba,75,2011,1,1,,7542
260680,2606804,Igarassu,76,2011,13,9,4,103537
260690,2606903,Iguaracy,77,2011,,0,,11802
260760,2607604,Ilha de Itamaracá,78,2011,6,3,3,22347
260700,2607000,Inajá,79,2011,10,7,3,19527
260710,2607109,Ingazeira,80,2011,,0,,4491
260720,2607208,Ipojuca,81,2011,25,19,6,82277
260730,2607307,Ipubi,82,2011,12,5,7,28510
260740,2607406,Itacuruba,83,2011,4,4,,4423
260750,2607505,Itaíba,84,2011,4,2,2,26215
260765,2607653,Itambé,85,2011,5,3,2,35430
260770,2607703,Itapetim,86,2011,1,0,1,13814
260775,2607752,Itapissuma,87,2011,3,1,2,24050
260780,2607802,Itaquitinga,88,2011,2,2,,15749
260790,2607901,Jaboatão dos Guararapes,89,2011,129,89,40,649788
260795,2607950,Jaqueira,90,2011,5,3,2,11490
260800,2608008,Jataúba,91,2011,4,2,2,15909
260805,2608057,Jatobá,92,2011,5,2,3,14026
260810,2608107,João Alfredo,93,2011,3,1,2,31029
260820,2608206,Joaquim Nabuco,94,2011,4,2,2,15762
260825,2608255,Jucati,95,2011,3,1,2,10674
260830,2608305,Jupi,96,2011,2,2,,13804
260840,2608404,Jurema,97,2011,1,1,,14603
260850,2608453,Lagoa de Itaenga,98,2011,4,2,2,20697
260845,2608503,Lagoa do Carro,99,2011,2,2,,16211
260860,2608602,Lagoa do Ouro,100,2011,7,5,2,12221
260870,2608701,Lagoa dos Gatos,101,2011,4,1,3,15649
260875,2608750,Lagoa Grande,102,2011,7,3,4,23039
260880,2608800,Lajedo,103,2011,4,1,3,36968
260890,2608909,Limoeiro,104,2011,10,4,6,55391
260900,2609006,Macaparana,105,2011,4,3,1,24035
260910,2609105,Machados,106,2011,2,2,,13857
260915,2609154,Manari,107,2011,7,3,4,18472
260920,2609204,Maraial,108,2011,2,1,1,12093
260930,2609303,Mirandiba,109,2011,8,5,3,14400
261430,2614303,Moreilândia,110,2011,4,4,,11134
260940,2609402,Moreno,111,2011,4,4,,57271
260950,2609501,Nazaré da Mata,112,2011,2,2,,30915
260960,2609600,Olinda,113,2011,61,34,27,378538
260970,2609709,Orobó,114,2011,,0,,22938
260980,2609808,Orocó,115,2011,2,2,,13361
260990,2609907,Ouricuri,116,2011,21,13,8,64944
261000,2610004,Palmares,117,2011,18,11,7,59813
261010,2610103,Palmeirina,118,2011,,0,,8086
261020,2610202,Panelas,119,2011,1,0,1,25628
261030,2610301,Paranatama,120,2011,1,0,1,11052
261040,2610400,Parnamirim,121,2011,3,2,1,20327
261050,2610509,Passira,122,2011,7,5,2,28590
261060,2610608,Paudalho,123,2011,16,12,4,51835
261070,2610707,Paulista,124,2011,43,30,13,303401
261080,2610806,Pedra,125,2011,3,0,3,20998
261090,2610905,Pesqueira,126,2011,18,14,4,63320
261100,2611002,Petrolândia,127,2011,14,12,2,32889
261110,2611101,Petrolina,128,2011,110,71,39,299752
261120,2611200,Poção,129,2011,1,1,,11247
261130,2611309,Pombos,130,2011,2,2,,24100
261140,2611408,Primavera,131,2011,3,3,,13560
261150,2611507,Quipapá,132,2011,7,5,2,24343
261153,2611533,Quixaba,133,2011,3,0,3,6731
261160,2611606,Recife,134,2011,279,197,82,1546516
261170,2611705,Riacho das Almas,135,2011,5,5,,19277
261180,2611804,Ribeirão,136,2011,5,3,2,44728
261190,2611903,Rio Formoso,137,2011,11,7,4,22258
261200,2612000,Sairé,138,2011,3,3,,11056
261210,2612109,Salgadinho,139,2011,,0,,9479
261220,2612208,Salgueiro,140,2011,29,25,4,56992
261230,2612307,Saloá,141,2011,5,3,2,15333
261240,2612406,Sanharó,142,2011,4,2,2,22434
261245,2612455,Santa Cruz,143,2011,6,6,,13773
261247,2612471,Santa Cruz da Baixa Verde,144,2011,4,3,1,11836
261250,2612505,Santa Cruz do Capibaribe,145,2011,23,10,13,89773
261255,2612554,Santa Filomena,146,2011,3,3,,13468
261260,2612604,Santa Maria da Boa Vista,147,2011,13,9,4,39629
261270,2612703,Santa Maria do Cambucá,148,2011,2,2,,13120
261280,2612802,Santa Terezinha,149,2011,2,2,,11048
261290,2612901,São Benedito do Sul,150,2011,1,0,1,14137
261300,2613008,São Bento do Una,151,2011,11,8,3,53847
261310,2613107,São Caitano,152,2011,14,9,5,35416
261320,2613206,São João,153,2011,7,7,,21433
261330,2613305,São Joaquim do Monte,154,2011,6,6,,20538
261340,2613404,São José da Coroa Grande,155,2011,8,5,3,18504
261350,2613503,São José do Belmonte,156,2011,9,6,3,32692
261360,2613602,São José do Egito,157,2011,3,1,2,32011
261370,2613701,São Lourenço da Mata,158,2011,16,11,5,103854
261380,2613800,São Vicente Ferrer,159,2011,3,2,1,17077
261390,2613909,Serra Talhada,160,2011,29,19,10,79871
261400,2614006,Serrita,161,2011,5,4,1,18369
261410,2614105,Sertânia,162,2011,8,7,1,33951
261420,2614204,Sirinhaém,163,2011,10,4,6,40853
261440,2614402,Solidão,164,2011,2,1,1,5761
261450,2614501,Surubim,165,2011,12,9,3,59144
261460,2614600,Tabira,166,2011,3,1,2,26609
261470,2614709,Tacaimbó,167,2011,1,1,,12710
261480,2614808,Tacaratu,168,2011,5,3,2,22450
261485,2614857,Tamandaré,169,2011,3,1,2,20979
261500,2615003,Taquaritinga do Norte,170,2011,5,1,4,25298
261510,2615102,Terezinha,171,2011,1,1,,6771
261520,2615201,Terra Nova,172,2011,5,3,2,9409
261530,2615300,Timbaúba,173,2011,8,2,6,53589
261540,2615409,Toritama,174,2011,8,6,2,36610
261550,2615508,Tracunhaém,175,2011,3,0,3,13106
261560,2615607,Trindade,176,2011,11,4,7,26438
261570,2615706,Triunfo,177,2011,2,1,1,14997
261580,2615805,Tupanatinga,178,2011,7,4,3,24704
261590,2615904,Tuparetama,179,2011,5,3,2,7938
261600,2616001,Venturosa,180,2011,7,6,1,16251
261610,2616100,Verdejante,181,2011,1,0,1,9165
261618,2616183,Vertente do Lério,182,2011,1,0,1,7823
261620,2616209,Vertentes,183,2011,2,2,,18473
261630,2616308,Vicência,184,2011,11,9,2,30879
261640,2616407,Vitória de Santo Antão,185,2011,11,6,5,130924
261650,2616506,Xexéu,186,2011,5,1,4,14132
260005,2600054,Abreu e Lima,2,2012,24,15,9,95243
260010,2600104,Afogados da Ingazeira,3,2012,11,9,2,35416
260020,2600203,Afrânio,4,2012,3,1,2,17975
260030,2600302,Agrestina,5,2012,4,3,1,23079
260040,2600401,Água Preta,6,2012,6,4,2,33785
260050,2600500,Águas Belas,7,2012,17,11,6,40778
260060,2600609,Alagoinha,8,2012,1,1,,13741
260070,2600708,Aliança,9,2012,10,8,2,37450
260080,2600807,Altinho,10,2012,,0,,22371
260090,2600906,Amaraji,11,2012,4,2,2,22035
260100,2601003,Angelim,12,2012,2,0,2,10372
260105,2601052,Araçoiaba,13,2012,5,3,2,18617
260110,2601102,Araripina,14,2012,37,27,10,78270
260120,2601201,Arcoverde,15,2012,13,10,3,69880
260130,2601300,Barra de Guabiraba,16,2012,2,1,1,13054
260140,2601409,Barreiros,17,2012,17,13,4,40973
260150,2601508,Belém de Maria,18,2012,,0,,11463
260160,2601607,Belém do São Francisco,19,2012,6,5,1,20260
260170,2601706,Belo Jardim,20,2012,16,11,5,72996
260180,2601805,Betânia,21,2012,6,4,2,12109
260190,2601904,Bezerros,22,2012,7,6,1,58864
260200,2602001,Bodocó,23,2012,11,7,4,35676
260210,2602100,Bom Conselho,24,2012,10,8,2,45983
260220,2602209,Bom Jardim,25,2012,4,3,1,37949
260230,2602308,Bonito,26,2012,13,9,4,37539
260240,2602407,Brejão,27,2012,2,1,1,8834
260250,2602506,Brejinho,28,2012,1,0,1,7312
260260,2602605,Brejo da Madre de Deus,29,2012,9,6,3,46248
260270,2602704,Buenos Aires,30,2012,2,1,1,12618
260280,2602803,Buíque,31,2012,15,8,7,53304
260290,2602902,Cabo de Santo Agostinho,32,2012,40,28,12,189222
260300,2603009,Cabrobó,33,2012,6,4,2,31497
260310,2603108,Cachoeirinha,34,2012,2,0,2,19088
260320,2603207,Caetés,35,2012,8,6,2,26946
260330,2603306,Calçado,36,2012,3,1,2,11051
260340,2603405,Calumbi,37,2012,3,3,,5643
260345,2603454,Camaragibe,38,2012,25,20,5,146847
260350,2603504,Camocim de São Félix,39,2012,1,0,1,17405
260360,2603603,Camutanga,40,2012,2,1,1,8204
260370,2603702,Canhotinho,41,2012,6,4,2,24461
260380,2603801,Capoeiras,42,2012,5,3,2,19599
260390,2603900,Carnaíba,43,2012,6,2,4,18707
260392,2603926,Carnaubeira da Penha,44,2012,7,5,2,11991
260400,2604007,Carpina,45,2012,23,19,4,76527
260410,2604106,Caruaru,46,2012,75,46,29,324095
260415,2604155,Casinhas,47,2012,2,2,,13830
260420,2604205,Catende,48,2012,2,1,1,38812
260430,2604304,Cedro,49,2012,5,1,4,10964
260440,2604403,Chã de Alegria,50,2012,7,5,2,12601
260450,2604502,Chã Grande,51,2012,4,2,2,20399
260460,2604601,Condado,52,2012,6,5,1,24658
260470,2604700,Correntes,53,2012,4,2,2,17374
260480,2604809,Cortês,54,2012,2,2,,12418
260490,2604908,Cumaru,55,2012,1,1,,17470
260500,2605004,Cupira,56,2012,9,7,2,23114
260510,2605103,Custódia,57,2012,8,6,2,34442
260515,2605152,Dormentes,58,2012,3,3,,17296
260520,2605202,Escada,59,2012,14,11,3,64422
260530,2605301,Exu,60,2012,8,6,2,31518
260540,2605400,Feira Nova,61,2012,1,1,,20830
260550,2605509,Ferreiros,63,2012,2,2,,11537
260560,2605608,Flores,64,2012,5,5,,22162
260570,2605707,Floresta,65,2012,10,9,1,29973
260580,2605806,Frei Miguelinho,66,2012,3,2,1,14492
260590,2605905,Gameleira,67,2012,3,2,1,28503
260600,2606002,Garanhuns,68,2012,42,26,16,131169
260610,2606101,Glória do Goitá,69,2012,3,3,,29241
260620,2606200,Goiana,70,2012,17,12,5,75902
260630,2606309,Granito,71,2012,1,1,,6968
260640,2606408,Gravatá,72,2012,12,6,6,77845
260650,2606507,Iati,73,2012,5,2,3,18462
260660,2606606,Ibimirim,74,2012,20,10,10,27349
260670,2606705,Ibirajuba,75,2012,1,0,1,7549
260680,2606804,Igarassu,76,2012,22,16,6,105003
260690,2606903,Iguaracy,77,2012,3,2,1,11824
260760,2607604,Ilha de Itamaracá,78,2012,4,3,1,22794
260700,2607000,Inajá,79,2012,10,6,4,19957
260710,2607109,Ingazeira,80,2012,,0,,4486
260720,2607208,Ipojuca,81,2012,22,14,8,83862
260730,2607307,Ipubi,82,2012,7,5,2,28887
260740,2607406,Itacuruba,83,2012,2,2,,4475
260750,2607505,Itaíba,84,2012,5,2,3,26175
260765,2607653,Itambé,85,2012,9,7,2,35461
260770,2607703,Itapetim,86,2012,4,2,2,13748
260775,2607752,Itapissuma,87,2012,5,1,4,24321
260780,2607802,Itaquitinga,88,2012,1,1,,16221
260790,2607901,Jaboatão dos Guararapes,89,2012,115,83,32,654786
260795,2607950,Jaqueira,90,2012,4,3,1,11479
260800,2608008,Jataúba,91,2012,4,2,2,16219
260805,2608057,Jatobá,92,2012,8,5,3,14087
260810,2608107,João Alfredo,93,2012,4,2,2,31305
260820,2608206,Joaquim Nabuco,94,2012,2,2,,15751
260825,2608255,Jucati,95,2012,2,1,1,10742
260830,2608305,Jupi,96,2012,4,1,3,13899
260840,2608404,Jurema,97,2012,4,4,,14662
260850,2608453,Lagoa de Itaenga,98,2012,8,6,2,20733
260845,2608503,Lagoa do Carro,99,2012,2,1,1,16408
260860,2608602,Lagoa do Ouro,100,2012,4,2,2,12307
260870,2608701,Lagoa dos Gatos,101,2012,3,2,1,15731
260875,2608750,Lagoa Grande,102,2012,5,2,3,23308
260880,2608800,Lajedo,103,2012,6,4,2,37296
260890,2608909,Limoeiro,104,2012,11,7,4,55343
260900,2609006,Macaparana,105,2012,4,3,1,24142
260910,2609105,Machados,106,2012,3,3,,14109
260915,2609154,Manari,107,2012,6,4,2,18847
260920,2609204,Maraial,108,2012,5,3,2,11961
260930,2609303,Mirandiba,109,2012,5,5,,14488
261430,2614303,Moreilândia,110,2012,4,4,,11020
260940,2609402,Moreno,111,2012,14,11,3,57828
260950,2609501,Nazaré da Mata,112,2012,7,5,2,31029
260960,2609600,Olinda,113,2012,80,51,29,379271
260970,2609709,Orobó,114,2012,2,2,,22996
260980,2609808,Orocó,115,2012,2,2,,13536
260990,2609907,Ouricuri,116,2012,22,17,5,65510
261000,2610004,Palmares,117,2012,15,10,5,60091
261010,2610103,Palmeirina,118,2012,4,3,1,8172
261020,2610202,Panelas,119,2012,11,4,7,26005
261030,2610301,Paranatama,120,2012,3,3,,11100
261040,2610400,Parnamirim,121,2012,6,6,,20425
261050,2610509,Passira,122,2012,8,7,1,28552
261060,2610608,Paudalho,123,2012,22,15,7,52297
261070,2610707,Paulista,124,2012,59,43,16,306239
261080,2610806,Pedra,125,2012,7,5,2,21050
261090,2610905,Pesqueira,126,2012,14,12,2,63519
261100,2611002,Petrolândia,127,2012,15,9,6,33273
261110,2611101,Petrolina,128,2012,84,66,18,305352
261120,2611200,Poção,129,2012,1,1,,11029
261130,2611309,Pombos,130,2012,1,1,,26086
261140,2611408,Primavera,131,2012,2,1,1,13705
261150,2611507,Quipapá,132,2012,4,2,2,24495
261153,2611533,Quixaba,133,2012,,0,,6722
261160,2611606,Recife,134,2012,275,198,77,1555039
261170,2611705,Riacho das Almas,135,2012,2,2,,19387
261180,2611804,Ribeirão,136,2012,7,5,2,44950
261190,2611903,Rio Formoso,137,2012,3,3,,22361
261200,2612000,Sairé,138,2012,,0,,10877
261210,2612109,Salgadinho,139,2012,2,0,2,9641
261220,2612208,Salgueiro,140,2012,17,13,4,57343
261230,2612307,Saloá,141,2012,8,6,2,15355
261240,2612406,Sanharó,142,2012,7,3,4,22896
261245,2612455,Santa Cruz,143,2012,4,3,1,13946
261247,2612471,Santa Cruz da Baixa Verde,144,2012,4,3,1,11901
261250,2612505,Santa Cruz do Capibaribe,145,2012,28,24,4,91891
261255,2612554,Santa Filomena,146,2012,4,3,1,13561
261260,2612604,Santa Maria da Boa Vista,147,2012,18,12,6,39816
261270,2612703,Santa Maria do Cambucá,148,2012,2,2,,13215
261280,2612802,Santa Terezinha,149,2012,2,1,1,11103
261290,2612901,São Benedito do Sul,150,2012,1,1,,14326
261300,2613008,São Bento do Una,151,2012,3,2,1,54433
261310,2613107,São Caitano,152,2012,9,7,2,35554
261320,2613206,São João,153,2012,5,5,,21549
261330,2613305,São Joaquim do Monte,154,2012,5,4,1,20586
261340,2613404,São José da Coroa Grande,155,2012,6,3,3,18816
261350,2613503,São José do Belmonte,156,2012,11,10,1,32763
261360,2613602,São José do Egito,157,2012,4,4,,32186
261370,2613701,São Lourenço da Mata,158,2012,21,13,8,104782
261380,2613800,São Vicente Ferrer,159,2012,8,7,1,17151
261390,2613909,Serra Talhada,160,2012,26,21,5,80489
261400,2614006,Serrita,161,2012,4,3,1,18519
261410,2614105,Sertânia,162,2012,9,5,4,34109
261420,2614204,Sirinhaém,163,2012,18,12,6,41391
261440,2614402,Solidão,164,2012,1,0,1,5777
261450,2614501,Surubim,165,2012,14,9,5,59751
261460,2614600,Tabira,166,2012,6,4,2,26784
261470,2614709,Tacaimbó,167,2012,,0,,12695
261480,2614808,Tacaratu,168,2012,6,3,3,22819
261485,2614857,Tamandaré,169,2012,8,4,4,21234
261500,2615003,Taquaritinga do Norte,170,2012,4,4,,25681
261510,2615102,Terezinha,171,2012,1,1,,6803
261520,2615201,Terra Nova,172,2012,3,3,,9534
261530,2615300,Timbaúba,173,2012,8,7,1,53360
261540,2615409,Toritama,174,2012,6,6,,37631
261550,2615508,Tracunhaém,175,2012,,0,,13155
261560,2615607,Trindade,176,2012,8,5,3,26749
261570,2615706,Triunfo,177,2012,4,3,1,14987
261580,2615805,Tupanatinga,178,2012,6,3,3,24973
261590,2615904,Tuparetama,179,2012,1,1,,7950
261600,2616001,Venturosa,180,2012,6,5,1,16823
261610,2616100,Verdejante,181,2012,5,5,,9187
261618,2616183,Vertente do Lério,182,2012,4,1,3,7773
261620,2616209,Vertentes,183,2012,9,7,2,18716
261630,2616308,Vicência,184,2012,9,6,3,31021
261640,2616407,Vitória de Santo Antão,185,2012,23,14,9,129907
261650,2616506,Xexéu,186,2012,4,2,2,14168
